url,type,utilisee_par_nb,verifie_le
https://ampcode.com/,Secondaire / index,1,2026-08-29
https://arxiv.org/abs/2406.11638,Secondaire / index,1,2026-08-29
https://arxiv.org/search/?query=DARS+coding+agent&searchtype=all,Secondaire / index,1,2026-08-29
https://arxiv.org/search/?query=SWE-Effi&searchtype=all,Secondaire / index,1,2026-08-29
https://base44.com/,Secondaire / index,1,2026-08-29
https://bolt.new/,Secondaire / index,1,2026-08-29
https://cli.github.com/manual/gh_skill_install,Primaire / dépôt,5,2026-08-29
https://codegen.com/,Secondaire / index,1,2026-08-29
https://cursor.com/docs/agent/overview,Secondaire / index,1,2026-08-29
https://docs.anthropic.com/en/docs/claude-code/overview,Primaire / dépôt,1,2026-08-29
https://docs.anthropic.com/en/docs/claude-code/sdk,Primaire / dépôt,1,2026-08-29
https://docs.augmentcode.com/using-augment/agent,Primaire / dépôt,1,2026-08-29
https://docs.devin.ai/desktop/acp,Primaire / dépôt,1,2026-08-29
https://docs.devin.ai/desktop/devin-local,Primaire / dépôt,1,2026-08-29
https://docs.devin.ai/get-started/devin-intro,Primaire / dépôt,1,2026-08-29
https://docs.factory.ai/,Primaire / dépôt,1,2026-08-29
https://docs.github.com/copilot,Primaire / dépôt,2,2026-08-29
https://docs.github.com/copilot/concepts/agents/cloud-agent/about-cloud-agent,Primaire / dépôt,1,2026-08-29
https://docs.gitlab.com/user/duo_agent_platform/,Primaire / dépôt,1,2026-08-29
https://docs.replit.com/features/agent/overview,Primaire / dépôt,1,2026-08-29
https://docs.tabnine.com/,Primaire / dépôt,1,2026-08-29
https://docs.warp.dev/,Primaire / dépôt,1,2026-08-29
https://docs.windsurf.com/windsurf/cascade/cascade,Primaire / dépôt,1,2026-08-29
https://docs.x.ai/grok-bot/overview,Primaire / dépôt,1,2026-08-29
https://firebase.studio/,Secondaire / index,1,2026-08-29
https://github.com/AbanteAI/mentat,Primaire / dépôt,1,2026-08-29
https://github.com/AtomicBot-ai/atomic-agent,Primaire / dépôt,1,2026-08-29
https://github.com/AutoJunjie/awesome-agent-harness,Secondaire / index,5,2026-08-29
https://github.com/BloopAI/vibe-kanban,Primaire / dépôt,1,2026-08-29
https://github.com/FSoft-AI4Code/HyperAgent,Primaire / dépôt,1,2026-08-29
https://github.com/FlorianBruniaux/claude-code-ultimate-guide/blob/main/guide/ecosystem/agentic-tools.md,Primaire / dépôt,2,2026-08-29
https://github.com/FlowiseAI/Flowise,Primaire / dépôt,1,2026-08-29
https://github.com/FoundationAgents/MetaGPT,Primaire / dépôt,1,2026-08-29
https://github.com/GCWing/BitFun,Primaire / dépôt,1,2026-08-29
https://github.com/HKUDS/OpenHarness,Primaire / dépôt,1,2026-08-29
https://github.com/Hmbown/CodeWhale,Primaire / dépôt,1,2026-08-29
https://github.com/Kilo-Org/kilocode,Primaire / dépôt,1,2026-08-29
https://github.com/MervinPraison/PraisonAI,Primaire / dépôt,1,2026-08-29
https://github.com/ModelEngine-Group/nexent,Primaire / dépôt,1,2026-08-29
https://github.com/MoonshotAI/kimi-code,Primaire / dépôt,1,2026-08-29
https://github.com/Nano-Collective/nanocoder,Primaire / dépôt,1,2026-08-29
https://github.com/NousResearch/hermes-agent,Primaire / dépôt,1,2026-08-29
https://github.com/NousResearch/hermes-agent/blob/main/website/docs/guides/migrate-from-openclaw.md,Primaire / dépôt,1,2026-08-29
https://github.com/OpenAutoCoder/Agentless,Primaire / dépôt,1,2026-08-29
https://github.com/OpenBMB/ChatDev,Primaire / dépôt,1,2026-08-29
https://github.com/OpenHands/OpenHands,Primaire / dépôt,3,2026-08-29
https://github.com/OpenHands/software-agent-sdk,Primaire / dépôt,1,2026-08-29
https://github.com/OpenInterpreter/open-interpreter,Primaire / dépôt,1,2026-08-29
https://github.com/Picrew/awesome-agent-harness,Secondaire / index,1,2026-08-29
https://github.com/Pythagora-io/gpt-pilot,Primaire / dépôt,1,2026-08-29
https://github.com/QwenLM/qwen-code,Primaire / dépôt,1,2026-08-29
https://github.com/RooCodeInc/Roo-Code,Primaire / dépôt,1,2026-08-29
https://github.com/SWE-agent/SWE-agent,Primaire / dépôt,1,2026-08-29
https://github.com/SWE-agent/mini-swe-agent,Primaire / dépôt,1,2026-08-29
https://github.com/Significant-Gravitas/AutoGPT,Primaire / dépôt,1,2026-08-29
https://github.com/Untrivial-ai/agent-orchestrator,Primaire / dépôt,1,2026-08-29
https://github.com/VoltAgent/voltagent,Primaire / dépôt,1,2026-08-29
https://github.com/aaif-goose/goose,Primaire / dépôt,1,2026-08-29
https://github.com/agiresearch/AIOS,Primaire / dépôt,1,2026-08-29
https://github.com/agno-agi/agno,Primaire / dépôt,1,2026-08-29
https://github.com/ai-christianson/RA.Aid,Primaire / dépôt,1,2026-08-29
https://github.com/aider-ai/aider,Primaire / dépôt,1,2026-08-29
https://github.com/anomalyco/opencode,Primaire / dépôt,1,2026-08-29
https://github.com/aorwall/moatless-tools,Primaire / dépôt,1,2026-08-29
https://github.com/aws/amazon-q-developer-cli,Primaire / dépôt,1,2026-08-29
https://github.com/biobootloader/wolverine,Primaire / dépôt,1,2026-08-29
https://github.com/block/buzz,Primaire / dépôt,2,2026-08-29
https://github.com/bradAGI/awesome-cli-coding-agents,Secondaire / index,19,2026-08-29
https://github.com/charmbracelet/crush,Primaire / dépôt,1,2026-08-29
https://github.com/cline/cline,Primaire / dépôt,1,2026-08-29
https://github.com/cloudflare/agents,Primaire / dépôt,1,2026-08-29
https://github.com/code-yeongyu/oh-my-openagent,Primaire / dépôt,1,2026-08-29
https://github.com/continuedev/continue,Primaire / dépôt,1,2026-08-29
https://github.com/crewAIInc/crewAI,Primaire / dépôt,1,2026-08-29
https://github.com/deepseek-ai/deepseek-harness,Primaire / dépôt,1,2026-08-29
https://github.com/deepset-ai/haystack,Primaire / dépôt,1,2026-08-29
https://github.com/esengine/DeepSeek-Reasonix,Primaire / dépôt,1,2026-08-29
https://github.com/features/spark,Primaire / dépôt,1,2026-08-29
https://github.com/frdel/agent-zero,Primaire / dépôt,1,2026-08-29
https://github.com/gastownhall/gastown,Primaire / dépôt,1,2026-08-29
https://github.com/google-gemini/gemini-cli,Primaire / dépôt,1,2026-08-29
https://github.com/google/adk-python,Primaire / dépôt,1,2026-08-29
https://github.com/gpt-engineer-org/gpt-engineer,Primaire / dépôt,1,2026-08-29
https://github.com/gptme/gptme,Primaire / dépôt,1,2026-08-29
https://github.com/huangd1999/AgentCoder,Primaire / dépôt,1,2026-08-29
https://github.com/huggingface/smolagents,Primaire / dépôt,1,2026-08-29
https://github.com/langchain-ai/deepagents,Primaire / dépôt,1,2026-08-29
https://github.com/langchain-ai/langgraph,Primaire / dépôt,1,2026-08-29
https://github.com/langflow-ai/langflow,Primaire / dépôt,1,2026-08-29
https://github.com/langgenius/dify,Primaire / dépôt,1,2026-08-29
https://github.com/lastmile-ai/mcp-agent,Primaire / dépôt,1,2026-08-29
https://github.com/letta-ai/letta-code,Primaire / dépôt,1,2026-08-29
https://github.com/mannaandpoem/OpenManus,Primaire / dépôt,1,2026-08-29
https://github.com/mastra-ai/mastra,Primaire / dépôt,1,2026-08-29
https://github.com/microsoft/agent-framework,Primaire / dépôt,1,2026-08-29
https://github.com/microsoft/autogen,Primaire / dépôt,1,2026-08-29
https://github.com/microsoft/autogen/tree/main/python/packages/autogen-magentic-one,Primaire / dépôt,1,2026-08-29
https://github.com/microsoft/semantic-kernel,Primaire / dépôt,1,2026-08-29
https://github.com/mistralai/mistral-vibe,Primaire / dépôt,1,2026-08-29
https://github.com/moazbuilds/CodeMachine-CLI,Primaire / dépôt,1,2026-08-29
https://github.com/neovateai/neovate-code,Primaire / dépôt,1,2026-08-29
https://github.com/nus-apr/auto-code-rover,Primaire / dépôt,1,2026-08-29
https://github.com/openai/codex,Primaire / dépôt,1,2026-08-29
https://github.com/openai/openai-agents-python,Primaire / dépôt,1,2026-08-29
https://github.com/paperclipai/paperclip,Primaire / dépôt,1,2026-08-29
